id,label
1,cat
2,dog
3,dog
4,dog
5,dog
6,cat
7,cat
8,dog
9,cat
10,dog
11,cat
12,dog
13,cat
14,cat
15,dog
16,cat
17,dog
18,dog
19,dog
20,cat
21,cat
22,cat
23,dog
24,dog
25,dog
26,cat
27,dog
28,cat
29,dog
30,dog
31,dog
32,cat
33,cat
34,cat
35,cat
36,cat
37,cat
38,cat
39,dog
40,cat
41,dog
42,dog
43,dog
44,dog
45,cat
46,cat
47,cat
48,dog
49,dog
50,cat
51,cat
52,cat
53,dog
54,cat
55,cat
56,dog
57,dog
58,cat
59,dog
60,cat
61,cat
62,dog
63,cat
64,dog
65,dog
66,cat
67,dog
68,cat
69,cat
70,dog
71,cat
72,dog
73,dog
74,dog
75,cat
76,cat
77,cat
78,dog
79,cat
80,dog
81,cat
82,dog
83,dog
84,cat
85,dog
86,cat
87,cat
88,dog
89,cat
90,dog
91,cat
92,cat
93,dog
94,dog
95,dog
96,cat
97,dog
98,cat
99,cat
100,cat
101,cat
102,cat
103,cat
104,cat
105,cat
106,dog
107,cat
108,dog
109,cat
110,dog
111,dog
112,cat
113,dog
114,cat
115,dog
116,cat
117,cat
118,dog
119,dog
120,cat
121,cat
122,cat
123,cat
124,cat
125,cat
126,cat
127,cat
128,cat
129,dog
130,cat
131,dog
132,dog
133,cat
134,cat
135,cat
136,cat
137,dog
138,cat
139,cat
140,cat
141,dog
142,cat
143,dog
144,cat
145,dog
146,dog
147,cat
148,dog
149,cat
150,dog
151,dog
152,cat
153,dog
154,cat
155,cat
156,cat
157,cat
158,dog
159,dog
160,cat
161,cat
162,cat
163,cat
164,dog
165,dog
166,cat
167,cat
168,cat
169,dog
170,cat
171,cat
172,dog
173,cat
174,cat
175,dog
176,dog
177,cat
178,dog
179,dog
180,cat
181,dog
182,cat
183,cat
184,dog
185,cat
186,cat
187,cat
188,cat
189,cat
190,dog
191,dog
192,dog
193,cat
194,cat
195,dog
196,cat
197,cat
198,cat
199,dog
200,dog
201,dog
202,cat
203,dog
204,dog
205,cat
206,cat
207,cat
208,dog
209,dog
210,dog
211,dog
212,dog
213,cat
214,dog
215,cat
216,cat
217,dog
218,cat
219,cat
220,dog
221,cat
222,dog
223,dog
224,cat
225,dog
226,dog
227,cat
228,cat
229,cat
230,cat
231,dog
232,cat
233,cat
234,cat
235,dog
236,dog
237,cat
238,cat
239,cat
240,dog
241,dog
242,dog
243,cat
244,dog
245,dog
246,cat
247,dog
248,cat
249,cat
250,dog
251,dog
252,cat
253,dog
254,dog
255,dog
256,cat
257,dog
258,dog
259,cat
260,cat
261,cat
262,dog
263,cat
264,cat
265,cat
266,cat
267,cat
268,cat
269,dog
270,dog
271,dog
272,cat
273,dog
274,cat
275,dog
276,dog
277,dog
278,cat
279,cat
280,dog
281,dog
282,dog
283,cat
284,dog
285,cat
286,dog
287,cat
288,cat
289,dog
290,cat
291,cat
292,cat
293,dog
294,cat
295,cat
296,dog
297,dog
298,dog
299,dog
300,cat
301,cat
302,dog
303,cat
304,cat
305,cat
306,dog
307,dog
308,cat
309,cat
310,cat
311,cat
312,dog
313,dog
314,cat
315,dog
316,cat
317,dog
318,dog
319,dog
320,cat
321,cat
322,dog
323,cat
324,cat
325,cat
326,dog
327,cat
328,cat
329,cat
330,cat
331,cat
332,cat
333,dog
334,dog
335,cat
336,cat
337,dog
338,cat
339,dog
340,dog
341,cat
342,cat
343,dog
344,dog
345,cat
346,dog
347,dog
348,dog
349,dog
350,dog
351,cat
352,dog
353,cat
354,cat
355,cat
356,dog
357,cat
358,dog
359,cat
360,cat
361,dog
362,cat
363,dog
364,cat
365,dog
366,dog
367,cat
368,cat
369,dog
370,dog
371,cat
372,cat
373,dog
374,dog
375,cat
376,cat
377,dog
378,cat
379,dog
380,cat
381,dog
382,cat
383,dog
384,dog
385,cat
386,cat
387,cat
388,cat
389,cat
390,cat
391,cat
392,cat
393,cat
394,dog
395,cat
396,cat
397,cat
398,dog
399,dog
400,dog
